School,Vacancies,Applications
*Admiralty*,210,264
*Ahmad Ibrahim*,210,84
*Ai Tong*,300,364
*Alexandra*,200,223
*Anchor Green*,240,271
*Anderson*,210,234
*Ang Mo Kio*,240,139
*Anglo-Chinese (Junior)*,270,309
*Anglo-Chinese (Primary)*,240,273
*Angsana*,240,194
*Beacon*,240,154
*Bedok Green*,270,166
*Bendemeer*,240,184
*Blangah Rise*,150,48
*Boon Lay Garden*,240,162
*Bukit Panjang*,240,266
*Bukit Timah*,210,238
*Bukit View*,240,203
*Canberra*,240,271
*Canossa Catholic*,150,172
*Cantonment*,240,159
*Casuarina*,160,165
*Catholic High*,240,287
*Cedar*,240,167
*Changkat*,210,131
*CHIJ (Katong)*,200,209
*CHIJ (Kellock)*,200,191
*CHIJ Our Lady of Good Counsel*,150,159
*CHIJ Our Lady of the Nativity*,240,246
*CHIJ Our Lady Queen of Peace*,180,177
*CHIJ (Toa Payoh)*,210,243
*CHIJ St. Nicholas Girls’*,210,315
*Chongfu*,300,411
*Chongzheng*,180,217
*Chua Chu Kang*,240,301
*Clementi*,280,315
*Compassvale*,240,269
*Concord*,240,282
*Corporation*,270,164
*Damai*,240,98
*Dazhong*,200,253
*De La Salle*,240,245
*East Spring*,210,171
*Edgefield*,240,250
*Elias Park*,190,210
*Endeavour*,240,220
*Evergreen*,210,208
*Fairfield Methodist*,270,339
*Farrer Park*,220,145
*Fengshan*,180,191
*Fern Green*,280,288
*Fernvale*,280,276
*First Toa Payoh*,210,93
*Frontier*,210,271
*Fuchun*,210,145
*Fuhua*,220,233
*Gan Eng Seng*,210,91
*Geylang Methodist*,270,270
*Gongshang*,210,310
*Greendale*,280,206
*Greenridge*,240,167
*Greenwood*,240,243
*Haig Girls’*,190,199
*Henry Park*,300,359
*Holy Innocents’*,270,353
*Hong Wen*,210,290
*Horizon*,240,362
*Hougang*,200,242
*Huamin*,280,335
*Innova*,180,191
*Jiemin*,220,189
*Jing Shan*,160,163
*Junyuan*,240,268
*Jurong*,190,208
*Jurong West*,180,207
*Keming*,210,272
*Kheng Cheng*,240,275
*Kong Hwa*,270,303
*Kranji*,180,78
*Kuo Chuan Presbyterian*,240,267
*Lakeside*,240,278
*Lianhua*,240,147
*Maha Bodhi*,330,358
*Maris Stella High*,270,295
*Marsiling*,210,168
*Marymount Convent*,240,261
*Mayflower*,190,145
*Mee Toh*,320,394
*Meridian*,190,68
*Methodist Girls’*,210,252
*Montfort Junior*,180,138
*Nan Chiau*,300,469
*Nan Hua*,240,391
*Nanyang*,390,452
*Naval Base*,280,292
*New Town*,270,100
*Ngee Ann*,240,263
*North Spring*,240,167
*North View*,240,285
*North Vista*,270,238
*Northland*,240,413
*Northoaks*,210,104
*Oasis*,280,291
*Opera Estate*,190,186
*Palm View*,280,259
*Park View*,180,169
*Pasir Ris*,180,203
*Paya Lebar Methodist Girls’*,270,314
*Pei Chun Public*,300,337
*Pei Hwa Presbyterian*,224,283
*Pei Tong*,280,210
*Peiying*,220,231
*Poi Ching*,240,357
*Princess Elizabeth*,200,392
*Punggol Cove*,280,289
*Punggol Green*,250,314
*Punggol*,190,225
*Punggol View*,280,298
*Qifa*,280,310
*Qihua*,240,167
*Queenstown*,240,246
*Radin Mas*,200,239
*Raffles Girls’*,270,290
*Red Swastika*,240,292
*River Valley*,210,237
*Riverside*,210,252
*Rivervale*,240,269
*Rosyth*,270,383
*Rulang*,270,382
*Sembawang*,190,209
*Seng Kang*,270,159
*Sengkang Green*,280,325
*Shuqun*,200,242
*Si Ling*,150,79
*Singapore Chinese Girls’*,192,207
*South View*,270,389
*Springdale*,280,309
*St. Andrew’s Junior*,240,283
*St. Anthony’s Canossian*,240,171
*St. Anthony’s*,210,250
*St. Gabriel’s*,150,166
*St. Hilda’s*,270,402
*St. Joseph’s Institution Junior*,240,306
*St. Margaret’s*,192,213
*St. Stephen’s*,240,228
*Tampines North*,240,204
*Tampines*,240,245
*Tanjong Katong*,200,219
*Tao Nan*,360,429
*Teck Ghee*,210,224
*Teck Whye*,240,119
*Telok Kurau*,220,216
*Temasek*,200,290
*Townsville*,190,121
*Unity*,240,152
*Waterway*,280,337
*Wellington*,240,263
*West Grove*,240,253
*West Spring*,240,302
*West View*,180,105
*Westwood*,240,300
*White Sands*,180,207
*Woodgrove*,180,183
*Woodlands*,210,249
*Woodlands Ring*,240,185
*Xinghua*,240,135
*Xingnan*,300,251
*Xinmin*,210,257
*Xishan*,220,252
*Yangzheng*,180,206
*Yew Tee*,240,194
*Yio Chu Kang*,200,169
*Yishun*,200,211
*Yu Neng*,180,205
*Yuhua*,240,165
*Yumin*,180,191
*Zhangde*,210,223
*Zhenghua*,240,253
*Zhonghua*,180,83
*Valour*,280,295
*Northshore*,240,179